nct,agent,dose_mg,schedule,dose_wk,n,mean_pct,var_of_mean,timepoint
NCT05051579,orforglipron,12.0,daily,84.0,44.0,-9.4,1.1025,"Baseline, Week 36"
NCT05064735,placebo,0.0,placebo,0.0,120.0,-2.5,0.2613333333333333,"Baseline (week 0), end of treatment (week 68)"
NCT05064735,semaglutide,2.4,weekly,2.4,253.0,-14.2,0.2923320158102767,"Baseline (week 0), end of treatment (week 68)"
NCT05144984,semaglutide,21.6,weekly,21.6,65.0,-13.0,0.4486153846153847,"Baseline (week 0), (week 34)"
NCT05144984,placebo,0.0,placebo,0.0,37.0,-2.7,0.4543243243243243,"Baseline (week 0), (week 34)"
NCT05144984,semaglutide,12.0,weekly,12.0,65.0,-11.0,0.5175384615384615,"Baseline (week 0), (week 34)"
NCT05144984,semaglutide,2.4,weekly,2.4,61.0,-9.3,0.5514754098360656,"Baseline (week 0), (week 34)"
NCT05144984,semaglutide,7.2,weekly,7.2,60.0,-13.0,0.8881666666666667,"Baseline (week 0), (week 34)"
NCT05412004,placebo,0.0,placebo,0.0,87.0,-1.56,0.4624000000000001,"Baseline, Week 52"
NCT05564117,semaglutide,25.0,daily,175.0,192.0,-14.4,0.57421875,"Baseline (week 0), end of treatment (week 64)"
NCT05564117,placebo,0.0,placebo,0.0,90.0,-2.5,0.6934444444444445,"Baseline (week 0), end of treatment (week 64)"
NCT05579249,semaglutide,2.4,weekly,2.4,207.0,-13.6,0.3656521739130434,"Baseline (week 0), end of treatment (week 52)"
NCT05646706,semaglutide,7.2,weekly,7.2,950.0,-19.5,0.11827368421052631,"Baseline (week 0), End of treatment (week 72)"
NCT05646706,placebo,0.0,placebo,0.0,171.0,-3.8,0.2947953216374269,"Baseline (week 0), End of treatment (week 72)"
NCT05649137,semaglutide,7.2,weekly,7.2,291.0,-13.5,0.2601030927835051,"Baseline (week 0), End of treatment (week 72)"
NCT05649137,placebo,0.0,placebo,0.0,95.0,-4.0,0.40463157894736845,"Baseline (week 0), End of treatment (week 72)"
NCT05649137,semaglutide,2.4,weekly,2.4,97.0,-10.7,0.6763917525773195,"Baseline (week 0), End of treatment (week 72)"
NCT05822830,tirzepatide,15.0,weekly,15.0,318.0,-20.2,0.34809999999999997,"Baseline, Week 72"
NCT05822830,semaglutide,2.4,weekly,2.4,318.0,-13.7,0.34809999999999997,"Baseline, Week 72"
NCT05971940,placebo,0.0,placebo,0.0,138.0,-1.6,0.18489999999999998,"Baseline, Week 40"
NCT05971940,orforglipron,3.0,daily,21.0,143.0,-4.7,0.22089999999999999,"Baseline, Week 40"
NCT05971940,orforglipron,12.0,daily,84.0,137.0,-6.1,0.30250000000000005,"Baseline, Week 40"
NCT05971940,orforglipron,36.0,daily,252.0,141.0,-7.9,0.3364,"Baseline, Week 40"
NCT06041217,placebo,0.0,placebo,0.0,78.0,-2.2,0.3738461538461539,"Baseline (week 0), end of treatment (week 44)"
NCT06041217,semaglutide,2.4,weekly,2.4,159.0,-12.2,0.42289308176100626,"Baseline (week 0), end of treatment (week 44)"
NCT06124807,placebo,0.0,placebo,0.0,48.0,-0.047,1.121481,"Baseline, Week 48"
NCT06124807,mazdutide,10.0,weekly,10.0,48.0,-19.2,1.1577760000000001,"Baseline, Week 48"
NCT06124807,mazdutide,16.0,weekly,16.0,51.0,-22.3,2.027776,"Baseline, Week 48"
NCT06124807,mazdutide,6.0,weekly,6.0,32.0,-10.54,2.244004,"Baseline, Week 48"
